,0
2005-12-04,94935.72
2005-12-05,109034.825
2005-12-06,110732.73499999999
2005-12-07,110425.63
2005-12-08,110308.3
2005-12-09,108947.665
2005-12-10,99789.325
2005-12-11,93030.165
2005-12-12,109157.055
2005-12-13,110869.8
2005-12-14,110126.19
2005-12-15,111207.84
2005-12-16,111892.63500000001
2005-12-17,102207.07999999999
2005-12-18,94456.01000000001
2005-12-19,107627.435
2005-12-20,108964.69499999999
2005-12-21,109320.535
2005-12-22,108055.715
2005-12-23,105160.095
2005-12-24,96250.29999999999
2005-12-25,89399.85
2005-12-26,92277.09999999999
2005-12-27,105675.355
2005-12-28,106468.3
2005-12-29,106792.36
2005-12-30,105940.255
2005-12-31,96479.48000000001
2006-01-01,88970.3
2006-01-02,91033.55
2006-01-03,106618.71000000002
2006-01-04,107557.73000000001
2006-01-05,107384.435
2006-01-06,105481.30500000001
2006-01-07,96914.86499999999
2006-01-08,91070.275
2006-01-09,102280.155
2006-01-10,90144.04000000001
2006-01-11,103625.095
2006-01-12,102633.715
2006-01-13,103254.81
2006-01-14,96804.935
2006-01-15,92361.98000000001
2006-01-16,106190.275
2006-01-17,106921.64
2006-01-18,107137.54499999998
2006-01-19,108008.74
2006-01-20,108193.155
2006-01-21,100540.955
2006-01-22,95323.63
2006-01-23,107830.925
2006-01-24,107952.39500000002
2006-01-25,107312.875
2006-01-26,106636.09
2006-01-27,102567.70499999999
2006-01-28,89974.94499999999
2006-01-29,83677.59
2006-01-30,83957.015
2006-01-31,86898.6
2006-02-01,100518.955
2006-02-02,104001.535
2006-02-03,104993.725
2006-02-04,96983.23999999999
2006-02-05,91766.1
2006-02-06,105951.94999999998
2006-02-07,108156.70000000001
2006-02-08,108660.245
2006-02-09,108016.04000000001
2006-02-10,105902.515
2006-02-11,97026.3
2006-02-12,92539.65
2006-02-13,109513.20499999999
2006-02-14,111815.65
2006-02-15,111782.0
2006-02-16,111742.51500000001
2006-02-17,109369.805
2006-02-18,100211.10999999999
2006-02-19,95401.11
2006-02-20,109142.155
2006-02-21,110578.97499999999
2006-02-22,110803.73999999999
2006-02-23,110513.695
2006-02-24,109533.70999999999
2006-02-25,101356.56999999999
2006-02-26,95799.715
2006-02-27,111254.065
2006-02-28,112954.305
2006-03-01,113451.25
2006-03-02,112830.255
2006-03-03,111747.13500000001
2006-03-04,103417.0
2006-03-05,97749.195
2006-03-06,111492.67499999999
2006-03-07,112539.485
2006-03-08,112972.985
2006-03-09,113523.38
2006-03-10,113299.39
2006-03-11,104303.91
2006-03-12,98278.565
2006-03-13,112133.13500000001
2006-03-14,113116.47499999999
2006-03-15,112856.65
2006-03-16,112871.93
2006-03-17,113150.41
2006-03-18,104665.12
2006-03-19,99255.29000000001
2006-03-20,114307.06
2006-03-21,113438.775
2006-03-22,113034.215
2006-03-23,113128.42499999999
2006-03-24,114156.845
2006-03-25,105261.08499999999
2006-03-26,99244.105
2006-03-27,111553.84
